#Orgánico,Funcional,Económico,R,Denominación Aplicación,Crédito Inicial 2026,Crédito Definitivo 2026,Obligado
0210,1502,23901,,Indemnizaciones jurados expropiacion,1000.0,1000.0,0.0
0210,1502,62633,,Aplicación nuevas tecnologías,50000.0,50000.0,0.0
0211,1511,12000,,Retribuciones basicas de funcionarios,293879.0,293879.0,70673.16
0211,1511,12100,,Retribuciones complementarias funcionarios,369969.0,369969.0,125519.51
0211,1511,12105,,Retribuciones consecuc.objetivos,9454.0,9454.0,0.0
0211,1511,14100,,Otro personal,83122.0,83122.0,82505.85
0211,1511,14101,,Retribuciones al personal de sustituciones,1012.0,1012.0,0.0
0211,1511,16000,,Seguridad social a cargo del ayuntamiento,220866.0,220866.0,91719.57
0211,1511,16500,,Cuotas elkarkidetza a cargo ayuntamiento,13863.0,13863.0,3696.54
0211,1511,60001,,Expropiaciones y adquisicion de suelo,250000.0,250000.0,0.0
0211,1511,60926,,Regularización convenio obispado aparcamiento catedral,200000.0,200000.0,0.0
0211,1511,61405,,Revisión del catálogo ciudad,40000.0,40000.0,0.0
0211,1511,61405,R,Revisión del catálogo ciudad,0.0,78650.0,0.0
0211,1511,61407,,Analisis patrimonio municipal protegido,30000.0,30000.0,0.0
0211,1511,64202,,Actualizaciones cartográficas,18000.0,18000.0,0.0
0211,1511,64203,,Honorarios,100000.0,100000.0,0.0
0211,1511,64203,R,Honorarios,0.0,8863.25,0.0
0211,1511,64206,,Revision pgou,90000.0,90000.0,0.0
0211,1511,64208,,Revisión plan especial casco histórico,35368.3,35368.3,0.0
0211,1511,64208,A,Revisión plan especial casco histórico,0.0,18750.69,0.0
0211,1511,64208,R,Revisión plan especial casco histórico,0.0,37500.0,0.0
0211,1511,64212,,Previsión cuotas urbanización,10000.0,10000.0,0.0
0211,1511,64334,,Honorarios notarios registro regularización propiedades,21000.0,21000.0,600.0
0211,1521,64220,,Plan de acción zonas tensionadas,18000.0,18000.0,0.0
