#Organikoa,Funtzionala,Ekonomikoa,R,Aplikazioaren izena,2026ko Hasierako kreditua,2026ko Behin-betiko kreditua,Obligado ,i,j,k
0211,1511,14101,,Ordezko langileen ordainsariak,1012.0,1012.0,0.0,,,
0211,1511,16000,,"Gizarte Segurantza, enpresaren kontura",220866.0,220866.0,91719.57,,,
0211,1511,16500,,"Elkarkidetzako kuotak, Udalaren kontura",13863.0,13863.0,3696.54,,,
0211,1511,60001,,Lurzoru desjabetzeak eta erosketak,250000.0,250000.0,0.0,,,
0211,1511,60926,,Apezpikutzarekiko hitzarmenak erregulatzea. Katedraleko aparkalekua,200000.0,200000.0,0.0,,,
0211,1511,61405,,Hiriko katalogoaren berrikuspena,40000.0,40000.0,0.0,,,
0211,1511,61405,R,HIRIKO KATALOGOAREN BERRIKUSPENA,0.0,78650.0,0.0,,,
0211,1511,61407,,Udalaren ondare babestua aztertzea,30000.0,30000.0,0.0,,,
0211,1511,64202,,Eguneratze kartografikoak,18000.0,18000.0,0.0,,,
0211,1511,64203,,Ordainsariak,100000.0,100000.0,0.0,,,
0211,1511,64203,R,Ordainsariak,0.0,8863.25,0.0,,,
0211,1511,64206,,HAPO berrikustea,90000.0,90000.0,0.0,,,
0211,1511,64208,,Hirigune historikoko plan bereziaren berrikuspena,35368.3,35368.3,0.0,,,
0211,1511,64208,A,Hirigune historikoko plan bereziaren berrikuspena,0.0,18750.69,0.0,,,
0211,1511,64208,R,Hirigune historikoko plan bereziaren berrikuspena,0.0,37500.0,0.0,,,
0211,1511,64212,,Urbanizazio kuoten aurreikuspena,10000.0,10000.0,0.0,,,
0211,1511,64334,,Notarioen ordainsaria. Jabetzak erregulatzeko erregistroa.,21000.0,21000.0,600.0,,,
0211,1521,64220,,Zona tentsionatuen ekintza-plana,18000.0,18000.0,0.0,,,
0213,1512,12000,,Funtzionarioen oinarrizko ordainsariak,201304.0,201304.0,137474.77,,,
0213,1512,12100,,Funtzionarioen ordainsari osagarriak,261950.0,261950.0,234156.07,,,
0213,1512,12105,,Helburuak lortu izanagatiko ordainsariak,5021.0,5021.0,0.0,,,
0213,1512,14100,,Bestelako langileak,167333.0,167333.0,71337.22,,,
0213,1512,14101,,Ordezko langileen ordainsariak,2722.0,2722.0,0.0,,,
0213,1512,16000,,"Gizarte Segurantza, enpresaren kontura",178351.0,178351.0,139738.61,,,
0213,1512,16500,,"Elkarkidetzako kuotak, Udalaren kontura",10423.0,10423.0,5908.62,,,
0213,1512,22620,,Lan subsidiarioak eta eskoratzeak,150000.0,150000.0,0.0,,,
0213,1512,22747,,Eraikinen ikuskaritza teknikoa. Erdi Aroko eraikinetako esku hartzeak.,20000.0,20000.0,0.0,,,
0213,1512,22747,A,Eraikinen ikuskaritza teknikoa. Erdi Aroko eraikinetako esku hartzeak.,0.0,2586.37,0.0,,,
0214,1502,62630,,Software-lizentziak,1000.0,1000.0,0.0,,,
0214,1502,62901,,Tresneria erostea,5000.0,5000.0,0.0,,,
0214,1502,64201,,Azterlanak eta proiektuak,48000.0,48000.0,0.0,,,
0214,9210,60205,A,EU Maturana-Berastegi jauregia birgaitzea,0.0,317582.1,200130.3,,,
0214,9210,60205,R,EU Maturana-Berastegi jauregia birgaitzea,0.0,3531.15,0.0,,,
0214,9211,12000,,Funtzionarioen oinarrizko ordainsariak,222145.0,222145.0,47748.86,,,
0214,9211,12100,,Funtzionarioen ordainsari osagarriak,270214.0,270214.0,76583.63,,,
0214,9211,12105,,Helburuak lortu izanagatiko ordainsariak,7319.0,7319.0,0.0,,,
0214,9211,14100,,Beste langileak,142.0,142.0,0.0,,,
0214,9211,16000,,"Gizarte Segurantza, enpresaren kontura",141982.0,141982.0,40557.13,,,
0214,9211,16500,,"Elkarkidetzako kuotak, Udalaren kontura",9211.0,9211.0,2208.42,,,
0214,9211,60507,,Aramangelu - abetxuko,30000.0,30000.0,0.0,,,
0214,9211,62215,,Udal ondareko inbertsioak,700000.0,700000.0,0.0,,,
0214,9211,62215,A,Udal ondareko inbertsioak,0.0,46231.98,0.0,,,
0214,9211,62215,R,Udal ondareko inbertsioak,0.0,285757.82,0.0,,,
0214,9211,62226,,Udal etxebizitzak birgaitzea,50000.0,50000.0,0.0,,,
0214,9211,62296,,Kirol instalazioetako inbertsioak,200000.0,200000.0,0.0,,,
0214,9211,62296,R,Kirol instalazioetako inbertsioak,0.0,172782.24,0.0,,,
0214,9211,62297,,Udal eraikinak birgaitzea - EBren 2012/2017 Zuzentaraua,1830201.47,1830201.47,469336.98,,,
0214,9211,62297,A,Udal eraikinak birgaitzea - EBren 2012/2017 Zuzentaraua,0.0,20944.24,0.0,,,
0214,9211,62297,R,Udal eraikinak birgaitzea - EBren 2012/2017 Zuzentaraua,0.0,1796844.61,0.0,,,
0214,9211,62298,,Kirol-inbertsioak futbol-zelaietan,1310000.0,1310000.0,0.0,,,
0214,9211,62298,R,KIROL-INBERTSIOAK FUTBOL-ZELAIETAN,0.0,522456.89,0.0,,,
0214,9211,62299,,ERRUGBIAREN HIRIA GAMARRAN,550000.0,550000.0,0.0,,,
0214,9211,64326,A,Hirigunea biziberritzeko plana,0.0,43313.85,0.0,,,
0214,9211,64516,A, gasteiz antzokia,0.0,14701.5,0.0,,,
0214,9212,62290,,Principal antzokia eraberritzea,7252111.41,7252111.41,448402.38,,,
0214,9212,62290,A,Principal antzokia eraberritzea,0.0,228072.02,11796.83,,,
